Zodis                         Eilutes             
mašinų                        62 62 62            
mergelės                      201 201 287 291     
metu                          56 56               
metų                          56 335 338 340 341  
mickevičius                   186 201             
miestas                       1 1 5 14 56 273     
mieste                        16 52 54 74 75 77 130 136 
miesto                        1 5 8 8 10 10 10 11 14 14 19 19 33 52 54 56 66 68 68 69 73 82 187 196 199 214 268 322 351 356 358 
miestą                        14 56 56 58 68      
miestų                        54 68 311 317       
mikalojaus                    239 286             
mikalojus                     186 211             
mindaugo                      106 136             
miškai                        8 19 19             
miškas                        19 19 19            
miškų                         19 19               
mln                           76 77               
mlrd                          79 80               
mm                            35 47               
modelį                        5 52                
mokslo                        186 312 317 319 320 336 
mokykla                       233 239 245 249 253 254 255 259 260 261 262 
mokyklos                      220 229 235 237 241 243 244 
mokymo                        247 250 252 257 258 263 264 
motinos                       291 293 295 296 297 
msur                          155 159             
na                            173 173             
nacionalinė                   239 266             
namai                         77 77 77            
namų                          59 61 143           
naujų                         61 133 328          
ne                            5 68 196 201        
neries                        7 10 10 10 11 14 14 14 136 196 208 214 
neryje                        15 128              
nerį                          14 14 95 96         
nors                          56 218              
nuo                           1 5 7 7 39 39 39 52 54 57 61 63 136 192 196 199 201 218 293 
nuolatinių                    311 341             
nuoroda                       321 322 328         
objektai                      81 187 315          
of                            262 308 344 346     
on                            308 309             
onos                          189 277 288         
or                            307 309             
oro                           39 134 352          
ozas                          12 21 22            
padaryta                      5 52                
pagal                         5 52 71 153 196 218 
pagrindinis                   19 50 66 91 129 191 195 198 204 207 210 213 216 272 
pakraštyje                    16 17               
pakraštys                     10 19               
pakraščiais                   10 14               
paminklas                     202 203 204 205 273 
pamėnkalnis                   215 216 217         
panerių                       12 19               
panorama                      51 60 364           
parkas                        19 19 19 19 27 28 29 30 
parke                         20 205              
parko                         20 20 100 301 301   
pasaulio                      2 64 273            
pasenusi                      151 165             
pasižymi                      74 192              
paslaugų                      254 255 256         
pastatai                      8 214               
pastatyta                     62 293              
pastatų                       273 353             
pat                           4 5 10 10 54 196 303 
patikimais                    152 166             
pats                          5 54                
patį                          5 52                
pavadinimas                   52 218              
paveldo                       2 64 273            
pavilnių                      19 20               
paviršius                     9 10 11             
per                           19 59 91 95 95 96 111 
pilaitės                      16 19               
pilies                        112 192             
pilis                         190 191             
pilių                         20 205              
pirmieji                      130 133             
pirmojo                       57 332              
pirmą                         54 56               
plyti                         10 17               
po                            56 57 61            
pradėjo                       136 218             
pradžioje                     54 75 131 341       
pramonė                       62 62               
prasidėjo                     61 133              
prezidentūra                  1 189               
prie                          10 16 72 142 152 166 201 208 322 333 
prieš                         63 96 111           
priklauso                     68 205 293          
prisidėti                     72 152 166          
profesinio                    247 256 257         
projekto                      326 345 346 357 362 366 
psl                           305 306 307 313 314 315 316 317 318 320 323 334 336 337 
pupkis                        312 312             
pusę                          19 19               
pėsčiųjų                      95 98 100 104       
rasų                          209 210             
ratas                         20 20               
razmukaitė                    312 312             
redakcija                     334 337             
regiono                       54 61 79            
remdamiesi                    152 166             
rengimo                       251 256             
respublikos                   1 189 322 338 340   
riešės                        10 16               
rinkos                        250 252             
rodyti                        31 163              
rokantiškių                   11 16 120           
rotušės                       140 197 198 199 199 199 201 
rus                           306 313 342         
rusai                         56 168              
rusijos                       56 56 57 57 57      
rytinė                        10 16               
rytų                          5 14 38 52          
rūmai                         196 217 217         
santakoje                     7 196               
sapiegų                       19 20               
saugomos                      20 33               
sausio                        63 63               
savivaldybė                   65 66 68 68         
savivaldybės                  1 1 33 67 68 68 69 69 69 76 214 268 
senamiestis                   2 64 271 272        
senamiesčio                   359 360             
seniausių                     196 211             
senoji                        5 5 52 52           
senojo                        199 365             
sentikiai                     178 292 293         
sentikių                      293 293             
sietinas                      4 52                
simonas                       186 186             
sinagoga                      295 298 299         
skaičius                      83 311 341          
skveras                       141 142 146         
solaris                       127 127             
sostine                       61 64               
sostinė                       1 57 57 58          
sostinės                      74 79 133           
sovietai                      58 61 63            
sovietų                       59 61 63            
sparčiai                      62 82               
srovę                         96 111              
stadionas                     301 301 301 301     
statistikos                   322 332 333 335 338 339 340 
stačiais                      10 192              
stačiatikių                   201 201 295         
stepono                       58 119              
stiliumi                      199 295             
stilių                        72 278              
stotis                        134 134             
straipsnis                    50 66 91 129 191 195 198 204 207 210 213 216 272 
straipsnyje                   151 165             
su                            4 14 14 52 59 78 192 196 201 201 218 295 357 361 
sudaro                        8 8 10              
sudarė                        76 80               
sudėtis                       167 174             
sukurta                       54 79 199           
surašymo                      332 335 338 340     
surinkti                      131 327             
svarbiausių                   201 211             
sąjungos                      59 63               
sąrašą                        2 64 273            
taip                          4 5 10 10 54 74 196 303 
tapo                          54 54 54 59 61 61 64 199 329 
tarmėse                       5 52                
tarp                          154 217             
tarybinė                      334 336             
tauro                         217 218             
tačiau                        15 57               
technologijų                  257 258 261         
teka                          14 14               
televizijos                   63 206 207          
telkšo                        16 16 16 68         
temperatūra                   35 35 35 39 44      
teresės                       201 282             
teritorijoje                  14 61 68            
teritorijos                   8 33                
the                           308 308 309 344     
ties                          10 15 15            
tik                           15 196 201 201 218  
tikrinta                      321 322 328         
tiltai                        90 96 111           
